百川朝海   bai3 chuan1 chao2 hai3
百川赴海   bai3 chuan1 fu4 hai3
百川归海   bai3 chuan1 gui1 hai3
百辞莫辩   bai3 ci2 mo4 bian4
拜赐之师   bai4 ci4 zhi1 shi1
百代过客   bai3 dai4 guo4 ke4
百代文宗   bai3 dai4 wen2 zong1
拜倒辕门   bai4 dao3 yuan2 men2
败德辱行   bai4 de2 ru3 xing2
白地将军   bai2 di4 jiang1 jun1
白藋同心   bai2 diao4 tong2 xin1
白丁俗客   bai2 ding1 su2 ke4
百读不厌   bai3 du2 bu4 yan4
百堵皆作   bai3 du3 jie1 null
百端待举   bai3 duan1 dai4 ju3
百端交集   bai3 duan1 jiao1 ji2
拜恩私室   bai4 en1 si1 shi4
稗耳贩目   bai4 er3 fan4 mu4
百二关河   bai3 er4 guan1 he2
百二河山   bai3 er4 he2 shan1
百二金瓯   bai3 er4 jin1 ou1
百二山川   bai3 er4 shan1 chuan1
百二山河   bai3 er4 shan1 he2
百发百中   bai3 fa1 bai3 zhong4
白发苍苍   bai2 fa4 cang1 cang1
白发苍颜   bai2 fa4 cang1 yan2
白发丹心   bai2 fa4 dan1 xin1
白发红颜   bai2 fa4 hong2 yan2
败法乱纪   bai4 fa3 luan4 ji4
白发千丈   bai2 fa4 qian1 zhang4
白发青衫   bai2 fa4 qing1 shan1
白发朱颜   bai2 fa4 zhu1 yan2
百凡待举   bai3 fan2 dai4 ju3
白饭青刍   bai2 fan4 qing1 chu2
百废待举   bai3 fei4 dai4 ju3
百废待兴   bai3 fei4 dai4 xing1
百废俱举   bai3 fei4 ju4 ju3
百废具举   bai3 fei4 ju4 ju3
百废俱兴   bai3 fei4 ju4 xing1
百废具兴   bai3 fei4 ju4 xing1
百废具作   bai3 fei4 ju4 null
白费口舌   bai2 fei4 kou3 she2
百废咸举   bai3 fei4 xian2 ju3
百分之百   bai3 fen1 zhi1 bai3
百福具臻   bai3 fu2 ju4 zhen1
百感交集   bai3 gan3 jiao1 ji2
白骨露野   bai2 gu3 lu4 ye3
白骨再肉   bai2 gu3 zai4 rou4
败鼓之皮   bai4 gu3 zhi1 pi2
百怪千奇   bai3 guai4 qian1 qi2
白冠厘缨   bai2 guan1 li2 ying1
稗官小说   bai4 guan1 xiao3 shuo1
稗官野史   bai4 guan1 ye3 shi3
拜鬼求神   bai4 gui3 qiu2 shen2
白圭之玷   bai2 gui1 zhi1 dian4
百鬼众魅   bai3 gui3 zhong4 mei4
拜衮之岁   bai4 gun3 zhi1 sui4
败国丧家   bai4 guo2 sang4 jia1
败国亡家   bai4 guo2 wang2 jia1
百骸九窍   bai3 hai2 jiu3 qiao4
白鹤晾翅   bai2 he4 liang4 chi4
捭阖纵横   bai3 he2 zong4 heng2
白黑不分   bai2 hei1 bu4 fen1
白黑颠倒   bai2 hei1 dian1 dao3
白黑分明   bai2 hei1 fen1 ming2
白虹贯日   bai2 hong2 guan4 ri4
白话八股   bai2 hua4 ba1 gu3
百花龙锦   bai3 hua1 long2 jin3
百花齐放   bai3 hua1 qi2 fang4
败化伤风   bai4 hua4 shang1 feng1
百花生日   bai3 hua1 sheng1 ri4
百花争妍   bai3 hua1 zheng1 yan2
百花争艳   bai3 hua1 zheng1 yan4
白华之怨   bai2 hua2 zhi1 yuan4
百堕俱举   bai3 hui1 ju4 ju3
百喙莫辩   bai3 hui4 mo4 bian4
百喙难辩   bai3 hui4 nan2 bian4
百喙难辞   bai3 hui4 nan2 ci2
百卉千葩   bai3 hui4 qian1 pa1
百喙如一   bai3 hui4 ru2 yi1
百喙一词   bai3 hui4 yi1 ci2
百计千方   bai3 ji4 qian1 fang1
百计千谋   bai3 ji4 qian1 mou2
百计千心   bai3 ji4 qian1 xin1
败绩失据   bai4 ji4 shi1 ju4
百鸡问题   bai3 ji1 wen4 ti2
白袷蓝衫   bai2 jia2 lan2 shan1
百家争鸣   bai3 jia1 zheng1 ming2
败将残兵   bai4 jiang4 can2 bing1
拜将封侯   bai4 jiang4 feng1 hou2
百结愁肠   bai3 jie2 chou2 chang2
百结悬鹑   bai3 jie2 xuan2 chun2
白金龟龙   bai2 jin1 gui1 long2
白金三品   bai2 jin1 san1 pin3
拜金主义   bai4 jin1 zhu3 yi4
败井颓垣   bai4 jing3 tui2 yuan2
百举百捷   bai3 ju3 bai3 jie2
百举百全   bai3 ju3 bai3 quan2
白驹过郄   bai2 ju1 guo4 xi4
